episode,reward,steps,updates
1,1.6815091215005218,134,0
2,1.7159805742235505,132,0
3,1.3352010914194192,129,0
4,1.1965629483754885,129,12
5,1.4638411016896082,135,135
6,1.1358955873047538,132,132
7,1.5150654946916529,133,133
8,0.6804378048849884,130,130
9,0.7355402063761947,129,129
10,1.1159099329059803,130,130
11,1.2645994059061003,131,131
12,0.6753610604983002,129,129
13,2.214377627703195,137,137
14,0.3864236665958245,130,130
15,1.7227272598993828,133,133
16,1.2658808847595253,133,133
17,0.26437876671275795,130,130
18,-0.1357394393034621,129,129
19,2.4476199767672604,134,134
20,2.192694007445734,136,136
21,1.90090042754629,135,135
22,1.5936813927085591,130,130
23,1.2849022892253021,131,131
24,1.3697626850006035,130,130
25,1.6887259948347868,134,134
26,0.7913216804849252,130,130
27,1.319263383748977,130,130
28,0.5194075843599855,131,131
29,1.7880710425090882,132,132
30,0.5221592884797133,126,126
31,0.3230200694930847,127,127
32,0.6854608720902142,125,125
33,0.3494236825904764,125,125
34,0.5713196494219694,124,124
35,-0.3577508961987821,124,124
36,-0.3268514242543219,120,120
37,-0.7718520214311457,121,121
38,-0.2799893545589107,121,121
39,-0.9618249259485339,120,120
40,-0.8328467799417822,117,117
41,-0.6883179899094287,116,116
42,-1.4890335169903057,116,116
43,-0.5977996923165563,118,118
44,-1.2118573459875464,115,115
45,-0.9801368191907365,116,116
46,-1.1446250295462441,115,115
47,-0.782527084042048,118,118
48,-0.030524158180343264,121,121
49,0.09652087839173973,124,124
50,1.0702366055599075,127,127
51,0.020097655813065884,129,129
52,0.1770152602115207,127,127
53,1.0755238802765863,129,129
54,0.5398901771524098,125,125
55,-0.7539802292188895,121,121
56,-0.14653840385699013,123,123
57,-0.17378581970851137,121,121
58,-1.0342915647367334,121,121
59,-1.107170950936382,121,121
60,0.010866867401446711,122,122
61,-0.08643116313445098,120,120
62,-0.8582218902543453,120,120
63,-0.612591360348933,120,120
64,-0.35062652055050236,121,121
65,-0.35334340945852105,118,118
66,-0.5925731906010707,115,115
67,-1.0206244839459604,116,116
68,-1.3952741231439667,115,115
69,-1.5750893545703075,114,114
70,-1.5367906389037618,114,114
71,-1.4987566286423846,111,111
72,-0.9367999246534708,116,116
73,-0.7374167537582164,117,117
74,0.5802813050763724,127,127
75,-0.2656778633168244,125,125
76,0.45995645210914304,123,123
77,0.0990938628683189,121,121
78,-0.47265768330596636,124,124
79,0.8814366955664514,126,126
80,-0.14940060958385715,126,126
81,0.9067801436987892,128,128
82,0.3863366907834713,128,128
83,1.0222525953228292,127,127
84,0.6235637628016502,126,126
85,1.0809128478199739,128,128
86,0.5129177417526449,130,130
87,1.0477302865235085,131,131
88,2.634237799592741,141,141
89,2.3905557973031986,141,141
90,2.505553651067773,140,140
91,1.8489835281301552,139,139
92,2.093717855609313,140,140
93,2.7468667038996237,142,142
94,3.456805328759671,143,143
95,3.3389265560063404,145,145
96,3.213899543675577,145,145
97,3.1183275220075526,146,146
98,3.2253270021579272,146,146
99,3.0187859143976556,147,147
100,4.023030241222164,148,148
101,3.5531619126479654,148,148
102,3.3426941463442095,149,149
103,4.587054419269437,150,150
104,4.696854679909398,151,151
105,3.987850342137424,152,152
106,4.686078565266801,154,154
107,4.470580936833951,154,154
108,5.018182873146847,154,154
109,4.993727545630991,154,154
110,4.592536120173865,154,154
111,4.917890009173153,154,154
112,5.038352058857727,153,153
113,4.524225172529487,152,152
114,4.9860875852835385,153,153
115,4.169890062541155,153,153
116,4.807531084951554,152,152
117,4.704941358029036,152,152
118,4.663439204816147,152,152
119,4.422693241703797,153,153
120,4.705361656009453,151,151
121,4.903609236855697,152,152
122,4.070660504344094,152,152
123,5.0214694980790835,152,152
124,4.877666634791227,152,152
125,4.819744313826343,152,152
126,4.9996799851408245,152,152
127,4.3456134874222485,152,152
128,4.663022806048382,152,152
129,4.300934467701667,153,153
130,4.868578514279202,152,152
131,5.0935854290434275,152,152
132,3.9020618555047353,152,152
133,4.726976560194773,153,153
134,4.3343245019863055,152,152
135,4.012812360849962,152,152
136,4.031195335178754,152,152
137,4.728153832639315,153,153
138,4.800304331423014,151,151
139,4.218919218503865,153,153
140,5.07361522141704,152,152
141,4.542668998765993,152,152
142,5.293383075933182,154,154
143,4.056026351747695,152,152
144,4.6894506947172285,152,152
145,4.505611609484751,152,152
146,5.007036472663216,152,152
147,4.379369801444019,151,151
148,4.5117767258513055,151,151
149,3.9817413175697602,152,152
150,4.787570974068391,152,152
151,3.978646804052758,152,152
152,4.846468268405507,151,151
153,4.189227213226886,152,152
154,4.696694011892122,150,150
155,4.163771228120725,149,149
156,4.09461249376146,150,150
157,3.9547642049308696,151,151
158,4.283212621142303,151,151
159,3.7376680158553626,151,151
