episode,reward,steps,updates
1,1.0124034658745824,126,0
2,1.0288697679943564,128,0
3,0.5207818054774265,128,0
4,0.7748986695761353,130,0
5,0.9986345037027995,131,131
6,1.3519010073961226,133,133
7,1.2349622654667538,132,132
8,1.6362258037067203,133,133
9,0.881747646734631,131,131
10,1.292920045474208,134,134
11,1.688725753101954,133,133
12,1.091901204016576,128,128
13,1.0316012206212193,131,131
14,1.0469285999646107,131,131
15,0.4041454751711395,127,127
16,1.8156017482509483,131,131
17,1.6462750680898868,130,130
18,-0.18137246283108155,124,124
19,0.4590948398799277,128,128
20,1.513638695436338,132,132
21,1.096679400175125,128,128
22,0.9566795554695045,132,132
23,0.7355946196786629,126,126
24,0.7389898262997665,129,129
25,-0.23774488872586197,124,124
26,-0.08245492675531096,122,122
27,0.05380045399859057,125,125
28,0.6230492604426487,131,131
29,0.22833603744308917,126,126
30,0.2127525998625135,125,125
31,-0.3334414828348624,122,122
32,-0.6157640122362071,119,119
33,-0.8149362236098074,119,119
34,-1.1700160649213736,118,118
35,-0.9825137186900879,119,119
36,-1.1625878047922527,118,118
37,-0.01219000170744522,121,121
38,-1.036016211891953,117,117
39,-1.3858347982868615,118,118
40,-0.8150494597573701,117,117
41,-0.06991753072105134,119,119
42,-0.8655500331075903,116,116
43,-1.1243774272418001,116,116
44,-0.8780991373988982,115,115
45,-0.5802197374564653,121,121
46,-1.3016243262197928,117,117
47,-0.6689809794153554,119,119
48,-1.1465146387947396,114,114
49,-1.0502502440942187,115,115
50,-1.2067983013955281,116,116
51,-1.7720918400814902,114,114
52,-1.5600840017223145,111,111
53,-1.5461648141873852,115,115
54,-1.8800575662516312,113,113
55,-1.05863023479262,113,113
56,-1.375632302537337,113,113
57,-1.644897026107767,112,112
58,-2.524637274511335,109,109
59,-1.2913973895972575,111,111
60,-1.2130549367197752,111,111
61,-1.7509116233347282,112,112
62,-1.8869429465677054,115,115
63,-2.12332508553522,112,112
64,-1.0591118822017869,112,112
65,-1.607085575215626,111,111
66,-2.4092259563138354,110,110
67,-1.177089392763122,111,111
68,-1.0847823649411215,112,112
69,-1.9906271536262174,109,109
70,-2.100858417905563,110,110
71,-2.5927347848565123,109,109
72,-2.0874688318036707,111,111
73,-2.0869205474798873,111,111
