episode,reward,steps,updates
1,1.1281271996401774,129,0
2,1.443072805165377,131,0
3,2.5569475598376137,134,0
4,0.9130163034585284,133,15
5,1.028791429069761,131,131
6,1.9669293711147287,134,134
7,1.9018997260778594,139,139
8,1.5591981953618923,135,135
9,1.0374018057316938,132,132
10,1.2095672167590656,131,131
11,0.42799970862708925,128,128
12,0.7015796217925612,130,130
13,0.47417594012751074,126,126
14,0.6144347105708139,130,130
15,1.3501538943907985,129,129
16,0.15378420855249963,127,127
17,0.07804877176282154,128,128
18,0.9984657582354242,128,128
19,-0.21572358120140933,126,126
20,0.1418827592277374,121,121
21,0.3050508728085237,122,122
22,0.7560058584690346,128,128
23,1.0742905796855933,132,132
24,0.6589008220096328,130,130
25,0.6356942080364334,125,125
26,1.9281013749942986,132,132
27,1.7039591409060826,132,132
28,1.4066275534664925,131,131
29,1.0302172642076322,132,132
30,1.8637195915339948,135,135
31,1.949417436003742,136,136
32,1.5420829710852892,134,134
33,2.113348978535406,133,133
34,1.5127461715241282,134,134
35,1.6896189888808966,136,136
36,1.7376261708909126,138,138
37,2.4868206351615214,137,137
38,1.945183524041635,140,140
39,2.5952942321254753,139,139
40,2.0497570970984746,140,140
41,1.8590086639575159,137,137
42,1.5180608691392123,134,134
43,1.3786234460840898,136,136
44,1.811834092985242,136,136
45,1.4154115695673966,135,135
46,2.0731477030484697,138,138
47,2.179485952098899,140,140
48,2.9093748942076783,140,140
49,2.655344231208039,141,141
50,3.2453024996590116,141,141
51,2.3000592453838173,141,141
52,2.968176601171951,140,140
53,2.5078069516714034,141,141
54,3.0104083030231017,140,140
55,2.354706412754876,139,139
56,1.9742156746590513,138,138
57,2.035050065809127,139,139
58,1.9851342242386742,139,139
59,2.244822599926712,137,137
60,2.472122094989638,138,138
61,2.082482209243212,140,140
62,2.6361951564561092,139,139
63,2.853920197699056,139,139
64,2.0596379336383386,138,138
65,2.753718367517589,139,139
66,2.5517929749906205,138,138
67,2.6583565295364213,138,138
68,2.2589466108380556,140,140
69,1.8409247118268866,138,138
70,2.5321144305970247,138,138
71,2.6149828256023238,138,138
72,2.699470311671181,138,138
73,2.212862093754266,139,139
74,1.9092752395321408,139,139
75,2.7019124421081777,138,138
76,2.075002917384463,138,138
77,1.9063558198754809,138,138
78,2.518579773517917,137,137
79,1.5685027647759178,138,138
80,1.948429421332273,137,137
81,1.8550953543806088,138,138
82,2.1190346202503996,137,137
83,1.940581585857812,137,137
84,1.9682935874737506,136,136
85,1.5625108914253225,136,136
86,1.466442675564947,136,136
87,1.4179390327716757,137,137
88,1.7372514738285716,137,137
89,1.8057338714783526,134,134
90,1.5107722782801947,136,136
91,1.7686976794285236,135,135
92,2.0929442528762046,135,135
93,2.180480906020156,135,135
94,1.7479503893738144,135,135
95,1.4458601834523108,135,135
96,1.547187873167676,134,134
97,1.9981674910448337,134,134
98,1.8005751769519147,134,134
99,1.3090563394244406,134,134
100,1.6970807350707506,134,134
101,1.5272844227597613,134,134
102,1.6433624497142567,134,134
103,1.2038679939713965,134,134
104,1.079689004512117,134,134
105,1.3934749639593473,135,135
106,1.5173055731908924,136,136
107,1.5412443263372761,134,134
108,1.3417851708575803,132,132
109,1.796055191544184,134,134
110,0.8843030410476853,134,134
111,2.002202713931254,134,134
112,1.1770658520159234,135,135
113,1.3495892035952508,133,133
114,1.4153045881824262,131,131
115,1.4426681301426711,133,133
116,1.328637914090164,131,131
117,1.493682193139012,132,132
118,0.9135654480079953,131,131
119,1.399750913601812,132,132
120,1.2891163574265914,131,131
121,1.0803059751134771,130,130
122,1.6302753372634005,132,132
123,0.9218054977207544,128,128
124,1.2728004191382318,131,131
125,1.3989617366390288,131,131
126,0.9770922938373214,130,130
127,0.8478414480431837,131,131
128,0.8229953170215971,128,128
129,-0.309804156695197,125,125
130,0.6345259174934288,129,129
131,1.0717143582490145,134,134
132,1.0955694737602713,132,132
133,1.35784245100864,133,133
134,0.07105628047690082,126,126
135,0.0690358270428515,123,123
136,0.11106021328477489,124,124
137,1.0560128015424617,134,134
138,1.6276053034437012,133,133
139,1.7874283931192796,134,134
140,-0.34574152423797067,125,125
141,0.014812509052099188,122,122
142,0.06094921741558679,121,121
143,0.21705145831731087,123,123
144,1.5087796032388496,135,135
145,2.0018818418910733,135,135
146,1.2850366992283462,135,135
147,1.6706147983598711,134,134
148,1.9446840380964616,135,135
149,1.3497036846941235,133,133
150,1.317629240345953,134,134
151,1.3960935590873351,135,135
152,1.7699775865298477,134,134
153,1.6660810182382342,136,136
154,1.2000871157568032,134,134
155,2.000987269080184,135,135
