episode,reward,steps,updates
1,0.5573490223910103,130,0
2,0.21054383633159723,130,0
3,1.391653222541624,131,0
4,0.7654783088750037,132,11
5,2.2534480440292626,133,133
6,0.7503915155227379,126,126
7,1.1440067119094586,133,133
8,1.7721026407020357,135,135
9,0.6293433893787235,128,128
10,2.3094807323246496,135,135
11,2.065310758946797,136,136
12,2.023889770979917,138,138
13,1.934320212383522,140,140
14,2.682100514632788,142,142
15,1.9254702706115836,138,138
16,2.5351596774827883,143,143
17,2.325778741870728,141,141
18,2.828834725037897,144,144
19,3.3298298866750002,147,147
20,3.1065576596080504,146,146
21,3.6308817417227406,146,146
22,2.5813601807163327,144,144
23,2.87110555320341,146,146
24,2.2370669879201763,143,143
25,3.0030321215298166,142,142
26,2.599501397659589,142,142
27,1.8583836179700874,137,137
28,1.83800131197086,137,137
29,2.5847122323472966,144,144
30,2.090667970741011,139,139
31,2.3696684734739577,139,139
32,2.038613092941734,140,140
33,1.8487726297606528,137,137
34,1.2618018114014244,135,135
35,1.8515802942290147,134,134
36,1.86096928552481,134,134
37,3.137311474725104,143,143
38,3.013699233689149,143,143
39,1.9943470698538643,140,140
40,2.700646409336372,143,143
41,1.9744713474327718,140,140
42,3.5888553576714024,143,143
43,2.1663185947871764,143,143
44,3.5122838565412096,144,144
45,3.9464426076992343,148,148
46,3.6111699165269577,148,148
47,3.806214757411741,146,146
48,4.11723689805714,153,153
49,4.375378085988812,152,152
50,4.837651687488746,153,153
51,4.206825591472533,151,151
52,4.361443987327201,154,154
53,4.348178011178632,152,152
54,4.501622005481213,152,152
55,4.198437028426769,151,151
56,4.663545809507138,156,156
57,5.040478321139425,155,155
58,5.636859021951704,161,161
59,4.344772138019261,152,152
60,4.4229344296864195,152,152
61,4.026160660070781,151,151
62,4.306367254344959,152,152
63,4.2701394797874155,154,154
64,4.873064109538692,158,158
65,4.820832611784491,157,157
66,5.7417320733586195,160,160
67,5.485089129345743,159,159
68,5.353165581194908,161,161
69,5.644690422366661,164,164
70,4.863337302289134,157,157
71,4.7164745467611855,156,156
72,5.3518851043260245,159,159
73,5.603752574285089,160,160
74,6.048818591287379,165,165
75,6.806599501582635,170,170
76,6.909832930267463,168,168
77,5.847327656871,164,164
78,5.175723990244379,161,161
79,5.898004380873319,165,165
80,5.432288024937005,160,160
81,6.421865017553181,163,163
82,5.371682350126417,161,161
83,5.704045966534489,161,161
84,5.884580451481606,165,165
85,6.035595861968872,167,167
86,5.639867651363822,165,165
87,5.0307778472607545,157,157
88,5.526912455398167,162,162
89,6.259458817574679,162,162
90,5.598431554334159,162,162
91,6.4088500490682385,167,167
92,6.3626759361444805,168,168
93,6.54827304985923,169,169
94,7.200745858330723,173,173
95,7.57417607319379,173,173
96,9.567249613208372,190,190
97,11.30987315091529,198,198
98,11.458646394404038,212,212
99,11.463854899287284,209,209
100,11.168480914476731,210,210
101,11.811330849014439,214,214
102,10.916668701172458,218,218
103,11.645378200222481,217,217
104,9.671342825444444,228,228
105,85.47592154726644,455,455
106,6.893127710809669,172,172
107,7.658799245793009,179,179
108,8.178272473352514,182,182
109,6.796701744987072,169,169
110,7.069991103224854,173,173
111,5.1142950284080975,160,160
112,4.8197908676186145,156,156
113,3.6931640371705594,152,152
114,3.340528045010368,147,147
115,4.092584269321772,150,150
116,4.059929677702751,152,152
117,3.7938916944814345,153,153
118,1.7794897985543852,141,141
119,1.2663679924883002,137,137
120,1.3386347164191648,138,138
121,1.5464263221887524,139,139
122,1.8168376726701219,141,141
123,2.4905292788525752,141,141
124,0.8210708712770227,135,135
125,1.052078174461327,137,137
126,0.6485425642847122,134,134
127,0.8042668116459595,132,132
128,0.9822537659283928,133,133
129,0.9385899891906124,133,133
130,0.3555329755034755,131,131
131,0.6529261527780648,130,130
132,0.20719443555250194,128,128
133,0.17939745907924198,126,126
134,-0.10679053728144972,127,127
135,3.3064821044415833,148,148
136,4.275970181998188,155,155
137,2.7033614794792893,143,143
138,1.8427170970571005,139,139
139,0.8256546488879568,128,128
140,0.4501704045477144,130,130
141,1.1579843978278213,137,137
142,-0.13945575614208394,126,126
143,0.3935197359169589,126,126
144,-0.35591233969768865,125,125
145,-0.3125096772448952,122,122
146,-1.2468217060458873,122,122
147,-0.438832605305814,121,121
148,-0.9888236215690185,121,121
149,-0.5905823458133472,120,120
150,-1.5712165456234413,117,117
151,-0.841937604440739,120,120
152,-0.666704066516461,117,117
153,-1.1083046600881445,117,117
154,0.34811093360573686,129,129
155,-0.6414068315855559,117,117
156,-0.9502739519092316,118,118
157,-1.2776625925585883,118,118
158,-1.165753986602315,115,115
159,-0.8473408593439746,117,117
160,-1.1384888622400577,116,116
161,-1.0046010044914535,115,115
162,-1.919444658645606,115,115
163,-1.2725459426655092,118,118
164,-1.3505338721257996,115,115
165,-1.6547060188919307,116,116
166,-1.7830840104915744,115,115
167,-1.2259025054495822,117,117
168,-1.0810933808315255,117,117
169,-0.9389037057091301,115,115
170,-1.4481805444282791,116,116
171,-0.9540706410285456,115,115
172,-1.733593530229399,117,117
173,-1.2774976761009231,113,113
174,-1.6217442453299284,117,117
175,-1.020013869422252,118,118
176,-1.334427252080074,118,118
177,-1.3161142313871395,119,119
178,-0.5941679586505142,118,118
179,-1.579972871739292,117,117
180,-1.2810628872990026,116,116
181,-0.9279620019733503,115,115
182,-1.8151276669106835,116,116
183,-1.135207969478639,115,115
184,-1.0161249528682248,115,115
185,-1.0193483036185231,116,116
186,-0.10289863661590282,123,123
187,-0.9329297028917676,116,116
188,-1.24776173331745,115,115
189,-1.6945179101390018,117,117
190,-2.013234641531211,114,114
191,-1.6740921300495764,117,117
192,-1.582677026984804,115,115
193,-0.8165098011586309,119,119
194,-1.8225916386960783,115,115
195,-1.163262016130549,114,114
196,-2.0688282443671033,114,114
197,-1.4098268790790662,112,112
198,-1.466943525850347,114,114
199,-1.584694508453513,113,113
200,-1.6030662721678883,113,113
201,-1.584254843362121,114,114
202,-1.2131586316983682,114,114
203,-1.7295101892425517,117,117
204,-1.708826736249641,117,117
205,-1.2313559908866054,113,113
206,-2.017718211027976,114,114
207,-1.8110891788309083,114,114
208,-1.7600114287887543,115,115
209,-1.5171645349291012,114,114
210,-1.5675219903255417,116,116
211,-1.8100605528841598,114,114
212,-1.3461380510199685,115,115
213,-1.8193179149702328,114,114
214,-1.3967176565948893,112,112
215,-1.184635908694112,113,113
