generation,global_best_fitness,global_avg_fitness
0,18749.1654081301,27599.13769939971
1,18748.810596701,27039.383434751173
2,18598.919345278642,26309.98180832401
3,18030.713909421098,26392.311327855365
4,18030.713909421098,26310.068615626264
5,18030.713909421098,26373.11388721106
6,18030.713909421098,26402.4713830477
7,18030.713909421098,26319.46136612759
8,17681.94582427116,26841.211299153492
9,17681.94582427116,26455.721812065443
10,17681.94582427116,26631.67657580902
11,17662.179273414094,26356.312896184063
12,17662.179273414094,26220.266498323046
13,17662.179273414094,26523.841504491887
14,15290.00505801678,26085.00614093803
15,15290.00505801678,26354.282441961746
16,15290.00505801678,26405.9298753053
17,15290.00505801678,26641.835181803726
18,15290.00505801678,26629.19183874682
19,15290.00505801678,26397.698054139895
20,15290.00505801678,26288.22611328062
21,15290.00505801678,26518.817340839058
22,15290.00505801678,26711.947949558617
23,15290.00505801678,26651.40130904447
24,15290.00505801678,26851.20411409503
25,15290.00505801678,26477.469544986827
26,15290.00505801678,26535.715526127555
27,15290.00505801678,26233.44187156723
28,15290.00505801678,26501.41514511453
29,15290.00505801678,26619.527472647304
30,15046.913218925069,26289.54744628257
31,15044.484685324513,26312.183680369173
32,15044.484685324513,26229.794628825523
33,15044.484685324513,26212.25370167887
34,15044.484685324513,25964.84412445943
35,15044.484685324513,26655.320629301816
36,15044.484685324513,26421.474364282287
37,15044.484685324513,26121.02547446208
38,15044.484685324513,25982.490606063722
39,15044.484685324513,25736.968595754737
40,15044.484685324513,26629.442485150554
41,15044.484685324513,26149.11002767466
42,15044.484685324513,25832.285031357136
43,15044.484685324513,25932.833145475917
44,15044.484685324513,25733.003192600245
45,15044.484685324513,26298.889852432872
46,15044.484685324513,25975.530966843107
47,15040.70891228422,26281.45800069761
48,15040.70891228422,26295.436830156737
49,15040.70891228422,26025.064066640018
50,15040.70891228422,25753.97964296325
51,15040.70891228422,25813.473759758508
52,15040.70891228422,25808.813065268732
53,15040.70891228422,25532.648520797164
54,15040.70891228422,25961.424581987198
55,15040.70891228422,25575.76093261265
56,15040.70891228422,25456.411144268463
57,15040.70891228422,25655.58585152372
58,15040.70891228422,25506.339776220768
59,15040.33929200362,25451.939999037677
60,15040.33929200362,25650.857872659013
61,15040.33929200362,25272.175061321075
62,15040.33929200362,25003.769601784144
63,15040.33929200362,25254.408409682073
64,15040.33929200362,25220.923800233406
65,15040.33929200362,24765.03283825812
66,15040.33929200362,25065.035561394077
67,15040.33929200362,25241.388486125394
68,15040.33929200362,24872.415031084165
69,15040.33929200362,25177.753497043446
70,15040.33929200362,24833.606766577264
71,15040.33929200362,24621.211280246167
72,15040.33929200362,24846.946840131102
73,15040.33929200362,24621.278787530624
74,15040.33929200362,24912.55171623986
75,15040.33929200362,24741.31169922663
76,15040.33929200362,24135.249345708675
77,15040.33929200362,24634.090091643575
78,15040.33929200362,24245.623738503942
79,15040.33929200362,23996.78015580423
80,15040.33929200362,24151.957300130445
81,15040.33929200362,24083.56028170782
82,15040.33929200362,24144.866538478815
83,15040.33929200362,23911.833708537364
84,15040.33929200362,23908.99877353946
85,15040.18139030952,23556.76701116226
86,15040.18139030952,23590.88110777919
87,15040.18139030952,23698.78661434309
88,15040.18139030952,23397.105060613914
89,15040.18139030952,23556.38122768417
90,15040.18139030952,23488.06067654081
91,15040.18139030952,23293.297814146765
92,15040.18139030952,23225.613587797598
93,15040.18139030952,23280.593761824137
94,15039.06454995595,22896.597731094556
95,15039.06454995595,23075.980187609493
96,15039.06454995595,23318.078885306393
97,15039.06454995595,23168.432236274824
98,15039.06454995595,22713.812796493654
99,15039.06454995595,23104.732774297372
100,15039.06454995595,22706.58042366636
101,15039.06454995595,22794.5683817792
102,15039.06454995595,22742.770021513403
103,15039.06454995595,22757.489493322995
104,15039.06454995595,22477.080266106885
105,15039.06454995595,22321.59604654079
106,15039.06454995595,22241.22516169321
107,15039.06454995595,22481.895985135565
108,15039.06454995595,22700.273997910503
109,15039.06454995595,22106.1400389326
110,15039.06454995595,22108.094432155063
111,15039.06454995595,21842.294823213982
112,15039.06454995595,22123.399556149543
113,15039.06454995595,22273.88052394378
114,15039.06454995595,22115.900081123968
115,15039.06454995595,21910.196390959503
116,15039.06454995595,21859.767055190765
117,15039.06454995595,21580.11065282002
