inertia,acceleration_dict_acceleration_x_component_control,acceleration_dict_acceleration_y_component_control,acceleration_dict_acceleration_x_component_drag,acceleration_dict_acceleration_y_component_drag,acceleration_dict_acceleration_x_component_lift,acceleration_dict_acceleration_y_component_lift,acceleration_dict_acceleration_x_component_gravity,acceleration_dict_acceleration_y_component_gravity,acceleration_dict_acceleration_x_component,acceleration_dict_acceleration_y_component,acceleration_dict_acceleration_x_component_wind,acceleration_dict_acceleration_y_component_wind,mach_number,mach_number_max,CL,CD,drag,lift,moment_dict_control_moment_z,moment_dict_aero_moment_z,moment_dict_moments_z,moment_dict_theta_dot_dot,moment_dict_M_wind_z,d_cp_cg,d_thrust_cg,x_cog,dynamic_pressure,mass_flow,fuel_percentage_consumed,control_force_parallel,control_force_perpendicular,control_force_x,control_force_y,aero_force_x,aero_force_y,gravity_force_y,atmospheric_pressure,air_density,speed_of_sound,action_info_throttle,action_info_delta_command_left_rad,action_info_delta_command_right_rad,action_info_gimbal_angle_deg,action_info_acs_info_alpha_local_left_rad,action_info_acs_info_alpha_local_right_rad,action_info_acs_info_C_n_L,action_info_acs_info_C_a_L,action_info_acs_info_C_n_R,action_info_acs_info_C_a_R,action_info_acs_info_F_n_L,action_info_acs_info_F_a_L,action_info_acs_info_F_n_R,action_info_acs_info_F_a_R,action_info_acs_info_F_perpendicular_L,action_info_acs_info_F_perpendicular_R,action_info_acs_info_F_perpendicular,action_info_acs_info_F_parallel_L,action_info_acs_info_F_parallel_R,action_info_acs_info_F_parallel,action_info_acs_info_Fx,action_info_acs_info_Fy,action_info_acs_info_Mz,action_info_acs_info_d_fin_cg,action_info_acs_info_delta_left_rad,action_info_acs_info_delta_right_rad,ug,vg,alpha_effective,state,actions,g_load_1_sec_window
23674274.512660176,4.165096896343107,20.760563399702303,0.027700416671173372,8.483300207167907e-08,0.20951120754044747,0.9961856041507879,0,-9.715786196187258,5.185910019779748,10.95453505167204,0.0,0.0,3.457119319023935,8.626446961240708,-1.4081644829814974,0.18617974369034354,208964.3569262505,-1580495.169882848,9449.787313716657,-52103584.54071601,9449.787313716657,0.00039915847510610055,0.0,-32.92627807897507,7.940958568987831,4.840958568987831,10439.463539540628,9136.65,0.7159181900654541,32874759.27440691,1672.4392913717259,6466653.283925703,32232471.134753987,1589633.974918426,-121222.56503497408,-15084551.998455768,1247.8184528551933,0.019214636216905154,301.5252154323689,0.6349057,0.21563467208035955,0.2111143722488704,-0.002772190522929029,-0.02039866880642356,-0.020172653814849104,-0.14290862148076794,0.03631859009233004,-0.14132520977942584,0.03631859009233004,-7459.446717172447,1895.7329853820045,-7376.796873551233,1895.7329853820045,-7479.4520488114795,-7396.3963565758195,82.19881285610077,1815.1985918157645,1817.7614260217304,7585.274406910117,1572.2822160037922,7420.988687917452,-3178.246440903304,44.51535696162938,0.010781733604017978,0.01055571861244352,0.0,0.0,-0.009616935202405585,"[np.float64(4875.626175754281), np.float64(29620.15307591691), np.float64(-214.2965478541824), np.float64(-1018.9389794354267), np.float64(1.3728664193091737), np.float64(0.00016079013198581947), 4.505096617182977, np.float64(-3.132230197873803), np.float64(1552581.7153505664), np.float64(1208300.346300237), np.float64(294.37499999998977)]",[-0.02217752  0.21060695  0.58990574  0.5775397 ],0.47981939400870494
23669040.75608084,4.188751142278835,20.865461606719947,0.02918775426799654,9.00927127934548e-08,0.220400363541436,1.0537303274639616,0,-9.717021639577434,5.268530451808139,11.054997726313674,0.0,0.0,3.4444679197225194,8.367584016549953,-1.4081099505381014,0.18647685765227873,220822.859258438,-1667460.8814349116,-38454.52121232961,-54960965.261668034,-38454.52121232961,-0.001624675947311055,0.0,-32.925022253915344,7.942214394047561,4.84221439404756,11014.314722610168,9161.396,0.7167785270617937,32963676.12983495,4721.320832328944,6488028.508126433,32318871.458658013,1677315.4072814432,-125704.21943216631,-15050861.526560258,1326.2187183026963,0.020458347117731597,301.25642841846195,0.63662535,0.21619589999058014,0.21117271212149993,-0.005375188267979367,-0.2241572352900135,-0.21961179105664477,-1.5771523670500864,0.0363620292131165,-1.545170985219263,0.0363620292131165,-86856.26268099622,2002.5141685300507,-85094.99765725294,2002.5141685300507,-85272.74660334467,-83625.29885458745,1629.6560374070684,-16630.667954930443,-15873.817460333254,8674.129834950594,3303.8792491252907,8184.17308596517,-63009.185848128225,44.51410113656965,0.2156627334758706,0.21111728924250187,0.0,0.0,-0.008494501814142907,"[np.float64(4790.430862082439), np.float64(29213.680777512207), np.float64(-212.19980456256252), np.float64(-1014.5235967701107), np.float64(1.3727758735483795), np.float64(-0.00046623641614183516), 4.506199507504954, np.float64(-3.133423633956575), np.float64(1548917.1563906055), np.float64(1204635.7873402762), np.float64(294.77499999998986)]",[-0.02137842  0.21432512  0.5914411   0.5776993 ],0.9641985521522868
23663777.26861856,4.2169080579595635,20.970017387364443,0.030742071629774676,9.565918696441772e-08,0.23174656991577824,1.1143036589170763,0,-9.718251936521714,5.358743862382677,11.155096787395038,0.0,0.0,3.431634139946345,8.117095683074876,-1.4080547496960074,0.1867838647602437,233300.11210962344,-1758713.6414712747,-38309.21574518002,-57956454.36805555,-38309.21574518002,-0.0016188969034957633,0.0,-32.92375933614604,7.943477311816864,4.843477311816864,11617.534890383678,9186.267,0.717641198139676,33052445.01111416,6424.191218427618,6516146.181696764,32403765.235258028,1769336.0690431364,-130201.72729459213,-15017057.37439637,1409.3341833098668,0.021779208989592003,300.98853947584126,0.63835347,0.2167341914259124,0.21124573266963853,-0.007815490557340507,-0.22331094068552354,-0.21826448927208364,-1.5780251222713781,0.03640609454506612,-1.5423644104214178,0.03640609454506612,-91663.80957944853,2114.745367999563,-89592.36175878436,2114.745367999563,-89983.09911357923,-88045.34101166637,1916.899714521368,-17600.22751286619,-16711.713246335425,9249.01111416138,3700.9924250858503,8690.30299672399,-74112.78354420423,44.51283821880035,0.21622281456234677,0.21117636314890686,0.0,0.0,-0.0070881261231767745,"[np.float64(4706.082844162746), np.float64(28808.984671908365), np.float64(-210.06824507589272), np.float64(-1010.0680851303491), np.float64(1.3724364060491967), np.float64(-0.0010870139891780428), 4.507337674383146, np.float64(-3.13490126833395), np.float64(1545242.6498598438), np.float64(1200961.2808095145), np.float64(295.17499999998995)]",[-0.02059746  0.21806158  0.5929137   0.57789904],1.453175615742015
23658483.7050147,4.250637764553654,21.07493513280573,0.03236479007387208,1.0154886972908103e-07,0.24355545703882658,1.178040029998604,0,-9.719477035189525,5.457755330034603,11.25555163924666,0.0,0.0,3.41861529534069,7.874708204668893,-1.4079988735220825,0.18710148612488706,246424.40758488252,-1854422.9416556729,-39285.67982060891,-61095089.49269805,-39285.67982060891,-0.0016605324462227408,0.0,-32.92248924751732,7.944747400445587,4.844747400445587,12250.247954416687,9211.496,0.7185062316617379,33142450.724603582,8057.553457560496,6552604.869835109,32488235.938209347,1865869.2112631386,-134690.4660794992,-14983138.079685567,1497.4294716979612,0.02318169966003352,300.72156208895666,0.6401067,0.2172341000520339,0.21134595075040957,-0.010100932887382088,-0.22215286579631252,-0.2166444225127711,-1.576731344257443,0.036450795305025686,-1.5376351338525431,0.036450795305025686,-96576.74962327207,2232.6564031112616,-94182.05826558173,2232.6564031112616,-94796.97963267588,-92556.48657468004,2216.4572661542466,-18589.942843714536,-17565.35358900757,9850.724603582887,4118.0542342860645,9219.06108840807,-85691.71360303633,44.511568130171625,0.21675918685721848,0.21125074357367707,0.0,0.0,-0.005393678939094038,"[np.float64(4622.596916405867), np.float64(28406.08084680934), np.float64(-207.89838626158752), np.float64(-1005.5723003127754), np.float64(1.3718458245008749), np.float64(-0.0017203596036275874), 4.508515056898202, np.float64(-3.1366692323973266), np.float64(1541558.051471172), np.float64(1197276.6824208426), np.float64(295.57499999999004)]",[-0.01984664  0.22185227  0.59428126  0.5781732 ],1.9468259545169786
23653165.03061676,4.284402855575507,21.151809160598486,0.03405746056239545,1.0777969460401163e-07,0.2558342699201301,1.2450950584215377,0,-9.720696888703943,5.5601922117445115,11.328007261524627,0.0,0.0,3.4054372110380102,7.640155697369084,-1.4079424371739608,0.18742971394389452,260228.42917056466,-1954794.8992657107,-40328.028907535314,-64382990.58629082,-40328.028907535314,-0.0017049738948396352,0.0,-32.92121318406647,7.946023463896438,4.8460234638964375,12913.818937975591,9224.742,0.7193727915037559,33189286.272007763,9631.41598747333,6588846.712632076,32528693.71811439,1967124.9568028525,-139145.02458656707,-14949150.184670595,1590.7828434224332,0.02467053639534069,300.4555086992651,0.64102715,0.21730510658459815,0.2115078709446864,-0.012302352959938308,-0.22063945660150147,-0.2147558529829628,-1.5729164243051483,0.036496042821297994,-1.5309728077451459,0.036496042821297994,-101561.78954022338,2356.516444734231,-98853.52819092464,2356.516444734231,-99682.64439126276,-97148.17460612005,2507.3744835670796,-19588.789435082028,-18433.81068165357,10470.272007763488,4533.227315676502,9765.417186265182,-96935.82985534644,44.51029206672077,0.2172376503786621,0.21135404676012343,0.0,0.0,-0.0034018062228393653,"[np.float64(4539.988726351118), np.float64(28004.98261910467), np.float64(-205.68890221749018), np.float64(-1001.0474194997494), np.float64(1.3709987745882843), np.float64(-0.002367535336059245), 4.5097358445970634, np.float64(-3.138737070008779), np.float64(1537868.1544985157), np.float64(1193586.7854481863), np.float64(295.97499999999013)]",[-0.01963155  0.22384246  0.5944755   0.57861614],2.4440481088167263
23647826.562361296,4.319388608167605,21.208318267844593,0.036129090409816655,1.152158127016835e-07,0.08878107913659629,0.4343609456417463,0,-9.721911446785892,4.787019327695267,11.56147352235062,0.0,0.0,3.3921269706015127,7.413181550289288,-0.46484010991296504,0.1891647468185807,276789.806756271,-680163.7533380794,-34113.47926334484,-22402452.46829374,-34113.47926334484,-0.0014425629845256493,0.0,-32.91993242604182,7.947304221921087,4.847304221921087,13609.691602057916,9229.449,0.7202399942656655,33205256.063959762,10989.926447678436,6626703.956384028,32537300.836517837,721846.1573429174,134808.95225607904,-14915126.859901048,1689.6861497607902,0.02625067665028865,300.1903925252458,0.64135426,0.21705571819326902,0.21172193916205834,-0.014471381708862798,-0.21855753064453445,-0.21278346783505775,-1.5650045446694119,0.03654174410131002,-1.523658751132173,0.03654174410131002,-106496.14604384884,2486.6093391007416,-103682.62854842795,2486.6093391007416,-104527.93704038001,-101893.92804248059,2605.950861740935,-20531.018637184974,-19336.445298719704,11024.063959761,4750.175597661926,10283.81241923864,-100743.48383394924,44.509011308696124,0.2172926371650317,0.211518574355555,0.0,0.0,-0.00126489347950276,"[np.float64(4458.226533611356), np.float64(27605.709505102233), np.float64(-203.6698750762163), np.float64(-996.4537534031296), np.float64(1.3699195016106231), np.float64(-0.002908528205359707), 4.510771332040343, np.float64(-3.1408518304297197), np.float64(1534176.3748354297), np.float64(1189895.0057851004), np.float64(296.3749999999902)]",[-0.0198127   0.2245498   0.5937933   0.57920176],2.944097398246564
23642469.17358588,4.35866532069053,21.26573691939509,0.038467857339555045,1.2345176216830277e-07,-0.05710390657395695,-0.28047455702553786,0,-9.723120608404153,4.114216982022408,11.775728905692967,0.0,0.0,3.378685982443342,7.193546546501253,0.28415606686102085,0.19142079234144707,295102.9934391265,438067.90740369953,-21506.939035658565,14428152.306692118,-21506.939035658565,-0.000909673980232437,0.0,-32.918647187504305,7.948589460458596,4.848589460458595,14339.13324693519,9234.812,0.7211076855589379,33223438.168711655,12165.514355479649,6670860.77967257,32546837.145998877,-370324.4905261645,376628.51717617735,-14881065.452475145,1794.4410696128418,0.02792725921393716,299.926237913598,0.64172685,0.21677119272030768,0.21196553517801653,-0.01661198337741552,-0.2162639054655261,-0.21095653250876137,-1.555505390652156,0.03658789430921839,-1.517331441898766,0.03658789430921839,-111522.9953144362,2623.193458623321,-108786.08862575352,2623.193458623321,-109471.41564961337,-106907.9510798073,2536.2575195421477,-21453.875721992656,-20297.394372903917,11526.168711656002,4794.9713762460715,10783.94254787982,-98045.94843384027,44.50772607015861,0.21704149191962097,0.21173411896285624,0.0,0.0,0.0007775864540948696,"[np.float64(4377.203685127086), np.float64(27208.295490940167), np.float64(-201.92262904026276), np.float64(-991.7738265446181), np.float64(1.3686767385895722), np.float64(-0.0032375126256565133), 4.5115367324086515, np.float64(-3.142859993819079), np.float64(1530482.4502138477), np.float64(1186201.0811635184), np.float64(296.7749999999903)]",[-0.02001909  0.22535539  0.5930149   0.5798682 ],3.447127698376208
23637092.461250506,4.400396068212933,21.324197310170167,0.04105133278706006,1.3238627443507664e-07,-0.2151223063544883,-1.0592033861810095,0,-9.724324265110424,3.3802363739008126,12.004063237503333,0.0,0.0,3.3651095382865908,6.981019793937182,1.0162468597820573,0.19392822967401938,314902.9047978328,1650193.4178173894,-7050.366177525269,54347148.57007517,-7050.366177525269,-0.000298275525599576,0.0,-32.917357376315536,7.949879271647365,4.8498792716473655,15103.375814939971,9240.711,0.7219759185814408,33243461.003959402,13278.074030226879,6718463.841481458,32557489.452347606,-1554442.1295324245,637190.5692904207,-14846963.760813845,1905.362343518498,0.02970565698629451,299.6630709056729,0.6421368,0.21645755556768043,0.2122333326703808,-0.018727465481862226,-0.21411885790431973,-0.20934227209427816,-1.5470018698994161,0.036634509611093324,-1.5124911908672531,0.036634509611093324,-116824.75313752877,2766.5238322618643,-114218.61436227114,2766.5238322618643,-114686.07009268383,-112244.06158831343,2416.1843817893796,-22422.799255557235,-21326.41927541005,12033.00395940358,4793.669939637166,11298.312252882914,-93401.07754455964,44.50643625896984,0.2167555108626763,0.21197892505263474,0.0,0.0,0.002636652958356578,"[np.float64(4296.809938350315), np.float64(26812.77553262389), np.float64(-200.4588759595158), np.float64(-987.0046663430475), np.float64(1.367362905661369), np.float64(-0.003323788373303469), 4.512016160044014, np.float64(-3.1446532543826446), np.float64(1526786.1659120899), np.float64(1182504.7968617606), np.float64(297.1749999999904)]",[-0.02024625  0.22624172  0.5921569   0.5806008 ],3.9532637771918986
23631696.127284914,4.442327879075983,21.383659699721083,0.04346642428387853,1.4071977659369134e-07,-0.2664616100709286,-1.3138950991248073,0,-9.725522307507147,3.1700080208722827,12.125749428275446,0.0,0.0,3.351394404447589,6.77537727892858,1.1942045115220343,0.19480404687835307,333086.51439381624,2041915.5792211911,9307.2442479491,67257718.06016295,9307.2442479491,0.0003938457992104533,0.0,-32.91606292555578,7.951173722407125,4.8511737224071245,15903.674200843492,9246.937,0.7228447289800474,33264559.55742353,14327.708326494034,6766053.580978527,32569182.470119365,-1934923.0474938257,732419.7287173795,-14812820.401109738,2022.7785975270986,0.03159149153323589,299.4009178278139,0.6425694,0.21612589214342467,0.21251572761447007,-0.020820039994873096,-0.2121996861087515,-0.20800616612986914,-1.5400689579093425,0.03668160110992604,-1.509633899016091,0.03668160110992604,-122463.77476711367,2916.861166087814,-120043.62846250487,2916.861166087814,-120232.85465444952,-117964.30093606448,2244.6497327440334,-23450.903413612832,-22436.677966485175,12545.557423527302,4744.413973021015,11828.778446751456,-86767.2537289815,44.505141808210084,0.21644097239646765,0.21224745241758528,0.0,0.0,0.0042412862877161395,"[np.float64(4216.945071449925), np.float64(26419.182710767782), np.float64(-199.18580837468664), np.float64(-982.1649631594229), np.float64(1.3660829271154846), np.float64(-0.003135760463417298), 4.512299875170754, np.float64(-3.1462169480552697), np.float64(1523087.391375957), np.float64(1178806.0223256277), np.float64(297.5749999999905)]",[-0.02048609  0.2271771   0.5912496   0.58137333],4.462562129732149
23626280.030817136,4.481883320785123,21.443962572307488,0.04590306911303925,1.4917460566589215e-07,-0.2817663414084879,-1.3912668604205054,0,-9.726714668799861,3.1346435142642473,12.212394301383263,0.0,0.0,3.337540447162012,6.5763945188176365,1.1982710195635649,0.19521251953737206,351366.2033815592,2156787.585980602,27371.66197690663,71054821.75360987,27371.66197690663,0.001158526096414847,0.0,-32.91476380604672,7.952472841916181,4.852472841916182,16741.35918843613,9253.194,0.7237141267347349,33285679.09757646,15319.56216496379,6809711.2798515,32581658.950410843,-2044076.906921528,772619.245494781,-14778635.197584843,2147.037348579549,0.033590715089366556,299.13979575007914,0.6430043,0.21579176529516061,0.2127993542705635,-0.02289045336251125,-0.21041813715956803,-0.20683886030583132,-1.5340835386277232,0.03672916926500209,-1.507988308550932,0.03672916926500209,-128413.21772616923,3074.4810767913427,-126228.869627067,3074.4810767913427,-126085.481185121,-124037.2818904896,2026.69400090129,-24532.80161328072,-23620.5982658749,13067.09757646138,4651.447398320144,12378.229467363777,-78339.5110889726,44.50384268870103,0.21610918580101146,0.21252990894727475,0.0,0.0,0.00569104864144343,"[np.float64(4137.586233491835), np.float64(26027.534321375148), np.float64(-197.92586280723157), np.float64(-977.2909438626847), np.float64(1.3649535807736586), np.float64(-0.0026450052904976734), 4.512566704880037, np.float64(-3.1476131241063783), np.float64(1519386.1134828907), np.float64(1175104.7444325613), np.float64(297.9749999999906)]",[-0.02072732  0.22811748  0.5903355   0.58214927],4.97501515582269
